id;groupe_name;start_date;end_date;saison;category
1;mobile Fish;2019-12-16T21:23:51;2019-12-17T01:44:32;Table Computer;BENJAMIN
2;Metal deposit;2019-12-17T14:45:21;2019-12-16T16:49:56;parsing red Chips;JUNIOR
3;Grocery Home;2019-12-17T03:30:55;2019-12-17T01:25:32;Steel zero administration;JUNIOR
4;syndicate;2019-12-16T16:30:45;2019-12-17T01:53:31;Refined Rubber Chicken Table;MASTER
5;South Dakota envisioneer Music;2019-12-17T10:34:06;2019-12-16T23:41:18;infomediaries;SENIOR
6;Salad;2019-12-17T06:43:28;2019-12-17T09:53:57;invoice;POUSIN
7;Georgia Industrial;2019-12-16T19:53:43;2019-12-16T21:30:25;Markets Chief;MINIME
8;Aruba;2019-12-16T17:02:31;2019-12-17T08:18:07;scale interactive generating;POUSIN
9;scalable;2019-12-17T12:08:36;2019-12-17T14:19:14;Administrator;POUSIN
10;monitor 1080p Checking Account;2019-12-16T17:52:44;2019-12-17T07:30:24;Frozen IB;BENJAMIN
